application_id,application_date,country,sector,company_size,years_in_business,annual_revenue_eur,existing_bank_client,previous_loans,loan_amount_requested_eur,loan_term_months,collateral_offered,num_employees,debt_to_equity_ratio,current_ratio,profit_margin_pct,revenue_growth_yoy_pct,loan_to_revenue_ratio,credit_bureau_score,num_credit_inquiries_12m,has_payment_defaults,defaulted_12m
APP-00050,2024-07-22,Netherlands,Retail & E-commerce,Micro (<10),11,1066920,False,4,66758,72,False,8,0.54,1.16,18.7,-6.5,0.063,656,3,False,0
APP-00051,2024-07-08,Germany,Agriculture,Micro (<10),13,95878,False,3,34616,48,False,6,1.03,0.72,4.5,0.2,0.361,685,4,False,0
APP-00052,2023-05-23,Germany,Technology,Micro (<10),7,465557,False,0,118100,60,True,8,2.01,2.68,6.8,4.8,0.254,638,2,False,0
APP-00053,2023-09-23,France,Professional Services,Small (10-49),9,73494,False,4,512532,12,False,34,1.49,1.45,6.2,-14.8,6.974,644,5,False,0
APP-00054,2023-12-07,Poland,Manufacturing,Micro (<10),7,221205,True,0,56255,48,True,7,1.48,1.45,-4.9,17.5,0.254,633,2,False,0
APP-00055,2023-12-30,Netherlands,Technology,Medium (50-249),8,458663,False,4,61793,36,True,249,0.8,0.58,9.4,3.6,0.135,622,2,True,0
APP-00056,2023-02-01,France,Agriculture,Micro (<10),4,50000,False,2,42252,12,True,4,2.53,1.71,-6.9,-2.6,0.845,694,1,False,0
APP-00057,2024-02-03,Netherlands,Professional Services,Micro (<10),4,141324,True,1,254573,48,False,6,0.79,1.05,10.2,16.3,1.801,699,2,False,0
APP-00058,2023-04-23,Netherlands,Professional Services,Micro (<10),7,449188,True,1,207234,72,True,6,2.06,2.28,2.2,-11.0,0.461,630,3,True,0
APP-00059,2024-06-26,Germany,Transportation & Logistics,Small (10-49),1,351868,True,1,69077,60,False,46,2.94,1.68,1.9,,0.196,604,2,False,0
APP-00060,2024-05-13,Netherlands,Agriculture,Micro (<10),24,143364,True,3,61130,12,True,7,0.54,1.48,5.8,-7.2,0.426,611,1,True,0
APP-00061,2024-11-04,Germany,Agriculture,Micro (<10),41,71289,False,3,46393,12,True,3,1.06,0.61,-1.3,-10.1,0.651,702,0,False,0
APP-00062,2024-06-27,France,Professional Services,Micro (<10),8,570436,False,1,78319,36,True,8,1.0,1.34,5.4,29.0,0.137,585,3,False,0
APP-00063,2023-09-25,Spain,Retail & E-commerce,Small (10-49),12,182245,False,3,223217,24,True,42,1.59,1.27,-0.0,6.5,1.225,568,1,False,0
APP-00064,2024-12-07,Germany,Hospitality & Food,Medium (50-249),17,516286,True,1,102050,12,True,77,0.77,1.47,-1.1,16.4,0.198,672,2,False,0
APP-00065,2023-10-27,Germany,Professional Services,Micro (<10),2,423482,True,1,276541,12,True,7,0.67,0.3,4.8,-1.2,0.653,644,3,False,0
APP-00066,2023-08-26,Belgium,Agriculture,Micro (<10),15,156858,False,0,55485,36,True,3,1.31,0.85,12.7,-7.3,0.354,638,2,True,0
APP-00067,2024-10-23,Netherlands,Retail & E-commerce,Micro (<10),5,971964,True,3,15519,24,False,3,0.96,1.1,10.0,-30.0,0.016,716,0,False,0
APP-00068,2023-09-28,Netherlands,Technology,Micro (<10),46,131513,True,2,793547,24,True,4,1.24,1.7,3.0,1.2,6.034,645,3,False,0
APP-00069,2023-02-25,France,Agriculture,Medium (50-249),6,1119670,False,1,117203,72,False,112,2.31,0.3,5.1,-14.9,0.105,597,1,False,0
APP-00070,2023-12-09,Poland,Real Estate,Micro (<10),15,1310017,False,2,184023,84,False,8,0.51,2.23,3.0,6.1,0.14,663,2,False,0
APP-00071,2024-08-03,Netherlands,Technology,Small (10-49),6,946132,False,3,52574,60,False,17,1.26,2.15,-0.6,-10.5,0.056,597,3,False,0
APP-00072,2023-05-19,Germany,Real Estate,Medium (50-249),42,216063,True,0,33188,24,True,228,0.95,0.8,0.2,10.6,0.154,720,1,False,0
APP-00073,2023-12-04,Spain,Retail & E-commerce,Small (10-49),4,5702954,True,1,111725,24,True,12,1.37,2.88,7.5,29.7,0.02,651,0,False,0
APP-00074,2023-04-05,Spain,Professional Services,Micro (<10),18,321969,False,1,20063,48,True,3,0.95,1.54,2.0,38.9,0.062,567,0,False,0
APP-00075,2024-05-16,Germany,Retail & E-commerce,Small (10-49),12,358350,False,0,79725,60,True,28,0.66,1.33,5.7,8.8,0.222,662,0,False,0
APP-00076,2023-12-14,Germany,Real Estate,Micro (<10),10,261326,False,0,223652,48,False,5,1.71,1.76,0.4,4.9,0.856,586,2,False,0
APP-00077,2023-08-30,France,Agriculture,Micro (<10),8,69167,False,2,141319,60,False,8,7.12,1.65,10.4,-3.4,2.043,732,1,False,0
APP-00078,2023-06-15,Italy,Retail & E-commerce,Medium (50-249),4,1269441,True,0,121045,36,True,171,1.27,1.47,9.5,-4.4,0.095,642,1,False,0
APP-00079,2024-02-17,Netherlands,Retail & E-commerce,Micro (<10),1,135011,False,3,398312,84,True,5,0.87,0.75,14.6,-6.0,2.95,700,1,False,0
APP-00080,2024-05-03,Italy,Professional Services,Micro (<10),17,808983,True,4,133288,60,False,2,0.87,1.14,13.5,22.8,0.165,600,0,False,0
APP-00081,2024-11-17,Netherlands,Manufacturing,Micro (<10),4,1078912,True,0,21514,12,True,1,2.37,1.61,0.9,0.3,0.02,634,4,False,0
APP-00082,2023-11-16,Spain,Transportation & Logistics,Micro (<10),18,553482,False,1,87618,36,False,8,0.8,1.9,1.3,30.9,0.158,683,4,False,0
APP-00083,2023-04-28,Netherlands,Manufacturing,Small (10-49),9,116965,True,0,460585,48,False,33,2.94,2.26,7.9,-6.1,3.938,637,2,False,0
APP-00084,2024-08-30,Netherlands,Healthcare,Small (10-49),19,178207,True,2,77068,24,False,28,0.51,1.13,1.1,3.3,0.432,578,3,False,0
APP-00085,2024-04-04,Netherlands,Construction,Small (10-49),14,50000,True,1,438570,36,True,30,1.51,1.45,7.3,-10.2,8.771,707,2,False,0
APP-00086,2024-05-26,Germany,Professional Services,Micro (<10),1,233336,True,1,223891,48,True,9,2.01,1.0,4.1,11.4,0.96,672,1,False,0
APP-00087,2023-03-12,Belgium,Retail & E-commerce,Micro (<10),12,703098,False,2,71197,48,False,5,2.13,2.06,11.0,2.6,0.101,563,1,False,0
APP-00088,2023-08-17,Netherlands,Real Estate,Micro (<10),5,201792,False,2,41589,72,True,5,2.04,1.21,11.2,4.6,0.206,620,1,True,0
APP-00089,2024-07-14,Germany,Technology,Micro (<10),18,132177,True,1,129562,36,False,5,1.58,1.05,4.3,1.3,0.98,584,3,True,0
APP-00090,2024-08-30,Belgium,Hospitality & Food,Small (10-49),11,187719,True,3,272774,72,False,43,2.7,1.44,-4.1,11.7,1.453,611,1,False,0
APP-00091,2023-11-14,Spain,Professional Services,Small (10-49),11,1153647,False,4,27919,36,True,18,0.74,0.4,11.6,13.0,0.024,613,6,False,0
APP-00092,2024-08-10,Italy,Agriculture,Medium (50-249),5,251390,True,2,108695,72,True,59,0.92,1.72,2.6,15.0,0.432,631,1,False,0
APP-00093,2024-09-06,France,Transportation & Logistics,Small (10-49),3,2494251,False,0,19281,24,False,48,1.06,1.21,5.9,-6.3,0.008,536,3,False,0
APP-00094,2023-10-10,Netherlands,Transportation & Logistics,Micro (<10),5,135282,True,2,75231,48,True,4,3.29,3.06,5.2,8.9,0.556,616,0,False,0
APP-00095,2024-10-17,Netherlands,Technology,Small (10-49),1,348250,False,3,26270,72,False,33,1.79,1.03,8.1,-1.0,0.075,727,3,False,0
APP-00096,2023-07-30,Italy,Agriculture,Small (10-49),4,159518,True,1,154784,36,True,26,2.03,1.24,2.6,20.9,0.97,787,3,False,0
APP-00097,2023-06-24,Netherlands,Professional Services,Medium (50-249),2,3234496,False,2,56885,60,False,108,1.21,2.01,-0.2,8.0,0.018,558,5,False,0
APP-00098,2024-05-13,Belgium,Technology,Micro (<10),2,332916,False,1,249304,48,False,2,2.2,1.87,6.8,8.6,0.749,736,2,False,0
APP-00099,2024-04-09,Poland,Professional Services,Small (10-49),8,3449332,True,1,64061,36,True,37,0.53,2.02,10.5,1.7,0.019,828,0,False,0
APP-00100,2023-04-13,Poland,Construction,Micro (<10),11,162080,False,2,59560,48,True,6,1.06,1.23,5.3,-4.8,0.367,634,2,False,0
APP-00101,2024-08-30,Belgium,Real Estate,Small (10-49),7,1677969,False,3,27115,24,False,35,1.18,0.71,5.3,5.9,0.016,690,4,False,0
APP-00102,2023-05-26,France,Real Estate,Medium (50-249),4,309156,False,0,134974,48,False,200,1.02,3.0,-0.5,19.7,0.437,731,1,False,0
APP-00103,2024-08-10,Germany,Construction,Medium (50-249),3,732330,False,0,146338,24,True,109,1.11,1.71,8.8,-4.2,0.2,615,1,False,0
APP-00104,2023-01-06,Spain,Construction,Micro (<10),5,62090,True,1,209356,60,True,5,1.87,1.54,9.2,20.8,3.372,726,4,False,0
APP-00105,2024-08-04,Netherlands,Agriculture,Micro (<10),3,407622,False,1,166735,48,False,6,1.56,1.88,5.4,11.8,0.409,634,3,False,0
APP-00106,2024-07-28,Netherlands,Real Estate,Small (10-49),7,74388,True,2,136082,24,False,43,2.76,0.62,0.6,-19.4,1.829,726,3,True,0
APP-00107,2024-07-23,Germany,Healthcare,Small (10-49),2,365315,False,0,159003,24,True,13,0.39,1.13,6.5,-6.0,0.435,771,1,False,0
APP-00108,2024-04-30,Netherlands,Retail & E-commerce,Medium (50-249),12,50000,False,2,172381,48,True,108,3.3,0.77,6.9,,3.448,750,2,False,0
APP-00109,2023-12-11,France,Professional Services,Micro (<10),4,239689,True,1,204051,24,False,2,0.91,1.5,5.8,3.5,0.851,624,3,False,1
APP-00110,2024-05-29,Belgium,Agriculture,Small (10-49),9,999224,False,2,29083,48,True,21,2.97,0.57,0.0,,0.029,697,1,False,0
APP-00111,2023-07-22,Italy,Healthcare,Small (10-49),15,517655,False,1,68223,84,False,47,1.05,1.8,7.4,-5.5,0.132,612,2,False,0
APP-00112,2024-07-23,Spain,Healthcare,Micro (<10),9,61038,True,2,26945,24,False,2,1.68,2.11,6.9,3.4,0.441,558,0,False,0
APP-00113,2024-02-10,Germany,Technology,Micro (<10),14,50000,False,1,128760,36,False,7,0.71,2.09,8.3,16.0,2.575,632,1,False,0
APP-00114,2023-12-02,Spain,Hospitality & Food,Small (10-49),1,487152,False,0,363657,72,True,41,0.65,1.66,5.3,0.9,0.746,715,2,False,0
APP-00115,2024-01-05,Netherlands,Professional Services,Micro (<10),4,1789485,False,2,202212,72,True,7,1.91,1.52,13.1,-4.3,0.113,628,2,False,0
APP-00116,2024-02-20,Germany,Transportation & Logistics,Small (10-49),17,84395,False,1,60740,12,False,15,0.27,1.15,6.0,-22.2,0.72,766,3,True,0
APP-00117,2023-01-28,Netherlands,Professional Services,Micro (<10),11,3324683,False,0,147905,60,False,1,0.65,1.67,13.7,-5.9,0.044,656,3,False,0
APP-00118,2023-04-13,Italy,Technology,Micro (<10),32,266254,False,4,130503,24,False,2,2.14,1.33,7.2,-3.4,0.49,564,0,False,0
APP-00119,2023-06-29,Spain,Healthcare,Micro (<10),28,50000,False,2,118955,60,False,8,1.05,0.3,-0.4,8.9,2.379,628,4,True,0
APP-00120,2023-03-25,Italy,Transportation & Logistics,Medium (50-249),9,50000,False,0,34798,36,False,51,0.8,1.03,10.6,9.9,0.696,598,1,False,0
APP-00121,2023-11-17,Italy,Professional Services,Small (10-49),6,675993,False,2,282690,24,False,38,3.37,1.88,4.0,22.3,0.418,755,1,False,0
APP-00122,2024-05-02,Poland,Healthcare,Small (10-49),3,313477,False,0,38465,36,True,25,4.16,0.72,3.6,-9.3,0.123,690,1,False,0
APP-00123,2024-04-22,Netherlands,Retail & E-commerce,Small (10-49),5,1589078,True,1,73615,24,False,47,1.35,0.71,11.7,6.6,0.046,645,0,False,0
APP-00124,2023-12-10,Italy,Retail & E-commerce,Small (10-49),5,63719,False,0,212630,36,True,27,2.9,1.28,-0.9,6.9,3.337,709,1,False,0
APP-00125,2024-09-16,Germany,Hospitality & Food,Medium (50-249),4,309339,False,0,73223,36,False,142,3.35,0.3,-3.6,-7.0,0.237,588,3,False,0
APP-00126,2024-02-17,Germany,Retail & E-commerce,Small (10-49),3,270523,True,1,105181,84,True,28,1.34,1.84,4.8,16.0,0.389,559,1,False,0
APP-00127,2023-02-27,Germany,Real Estate,Micro (<10),10,226020,True,1,108628,48,False,8,0.99,1.78,7.7,25.5,0.481,549,0,False,0
APP-00128,2024-07-12,Belgium,Agriculture,Micro (<10),28,169544,False,0,104060,48,True,7,1.42,1.97,10.8,5.3,0.614,503,2,False,0
APP-00129,2024-02-24,Netherlands,Retail & E-commerce,Micro (<10),15,173643,True,0,108233,24,True,9,0.56,1.53,6.8,-0.7,0.623,565,2,False,0
APP-00130,2024-04-08,Netherlands,Transportation & Logistics,Small (10-49),5,330901,True,0,117141,84,False,26,1.9,0.89,-6.4,22.9,0.354,695,2,False,0
APP-00131,2024-02-17,Netherlands,Hospitality & Food,Micro (<10),16,385808,True,0,104795,36,False,8,1.11,0.66,0.7,10.2,0.272,708,1,False,0
APP-00132,2024-02-09,Germany,Technology,Small (10-49),9,363337,False,1,48223,12,False,10,1.4,1.73,-0.9,-9.6,0.133,580,1,False,0
APP-00133,2023-03-08,Italy,Agriculture,Medium (50-249),7,1140736,False,0,28565,48,True,173,1.38,1.83,-4.4,2.7,0.025,489,1,False,0
APP-00134,2024-02-13,France,Construction,Micro (<10),6,63479,False,1,219367,36,False,6,0.81,0.73,5.1,0.7,3.456,617,2,False,0
APP-00135,2024-08-03,Germany,Retail & E-commerce,Micro (<10),6,50000,False,1,227526,36,False,1,1.32,0.65,8.8,-5.1,4.551,689,1,False,0
APP-00136,2023-08-10,Germany,Retail & E-commerce,Small (10-49),12,909234,False,0,129311,36,True,16,0.6,1.39,11.3,-4.6,0.142,716,2,True,0
APP-00137,2024-03-16,Germany,Hospitality & Food,Micro (<10),8,86488,True,2,128450,36,False,9,1.01,1.48,8.7,-3.0,1.485,669,3,False,0
APP-00138,2023-01-23,Netherlands,Real Estate,Small (10-49),4,170182,True,2,47469,36,True,11,0.69,1.96,2.9,14.7,0.279,569,2,False,0
APP-00139,2023-09-11,Spain,Construction,Micro (<10),3,128731,True,2,14032,60,False,5,0.8,1.8,12.0,1.5,0.109,708,3,True,0
APP-00140,2023-11-15,Netherlands,Professional Services,Micro (<10),9,125465,True,1,80906,24,True,7,0.35,1.35,4.8,6.0,0.645,681,0,False,0
APP-00141,2024-12-18,France,Retail & E-commerce,Micro (<10),10,50000,False,0,21636,24,False,9,1.04,2.02,6.3,16.6,0.433,709,1,False,0
APP-00142,2023-06-06,Spain,Agriculture,Micro (<10),5,135478,False,1,114407,24,False,3,1.81,1.19,2.4,1.4,0.844,578,2,False,0
APP-00143,2023-07-21,Germany,Professional Services,Micro (<10),2,584900,False,4,280237,36,False,6,1.5,1.21,4.7,-9.4,0.479,691,3,False,0
APP-00144,2023-10-26,Italy,Technology,Micro (<10),20,267074,False,1,60300,24,True,7,2.59,1.91,3.7,16.3,0.226,719,1,False,0
APP-00145,2024-12-25,Netherlands,Technology,Micro (<10),16,491594,False,2,63135,12,True,9,0.76,1.97,-1.6,0.4,0.128,541,0,False,0
APP-00146,2024-09-14,Italy,Manufacturing,Medium (50-249),1,147960,False,1,44149,36,True,178,1.01,1.99,9.5,26.4,0.298,600,1,False,0
APP-00147,2023-01-26,France,Retail & E-commerce,Micro (<10),21,792870,True,4,102273,84,False,3,2.34,1.29,6.9,17.1,0.129,528,2,False,0
APP-00148,2023-06-20,Spain,Professional Services,Micro (<10),6,145796,False,0,96126,12,False,8,1.28,1.44,10.4,11.4,0.659,585,3,False,0
APP-00149,2024-08-22,France,Professional Services,Micro (<10),8,50000,False,1,43682,12,True,9,1.51,0.88,2.1,7.7,0.874,641,2,False,0
APP-00150,2023-02-12,Italy,Technology,Micro (<10),18,392365,True,1,204855,48,True,4,4.8,1.94,9.9,18.5,0.522,534,4,False,0
APP-00151,2024-09-16,Poland,Transportation & Logistics,Micro (<10),27,673916,True,2,857602,36,True,5,1.16,1.05,-2.6,8.0,1.273,738,1,True,0
APP-00152,2023-07-25,Germany,Manufacturing,Small (10-49),16,137161,False,2,255732,24,False,36,1.01,0.3,9.0,-21.1,1.864,740,1,True,0
APP-00153,2024-10-31,Spain,Construction,Micro (<10),8,1131491,False,2,90356,72,True,8,0.74,1.14,9.7,3.8,0.08,639,0,True,0
APP-00154,2023-08-03,Spain,Retail & E-commerce,Small (10-49),2,96680,False,2,89497,48,False,32,1.13,0.89,0.3,11.9,0.926,597,1,False,0
APP-00155,2023-11-14,Germany,Manufacturing,Micro (<10),1,600112,False,1,65457,36,False,7,2.49,0.3,12.1,-7.0,0.109,646,2,False,0
APP-00156,2024-04-28,Italy,Healthcare,Micro (<10),14,2177593,True,0,64386,48,True,8,1.9,1.06,14.6,36.1,0.03,766,0,False,0
APP-00157,2023-04-03,Belgium,Healthcare,Micro (<10),21,280429,False,3,212463,60,True,2,3.19,1.87,2.8,3.2,0.758,699,4,False,0
APP-00158,2024-02-11,Germany,Healthcare,Small (10-49),3,204478,False,0,219996,12,False,23,1.68,1.65,14.0,11.7,1.076,506,2,False,0
APP-00159,2024-01-04,Netherlands,Retail & E-commerce,Medium (50-249),5,236379,False,0,38730,72,False,218,0.35,1.65,-3.4,19.1,0.164,469,1,False,1
APP-00160,2024-07-26,Netherlands,Construction,Micro (<10),4,1893532,False,0,132329,24,True,6,1.97,2.26,5.3,12.3,0.07,577,3,False,0
APP-00161,2024-12-28,Italy,Hospitality & Food,Medium (50-249),4,435103,False,1,240121,36,True,90,1.44,1.05,-8.4,3.7,0.552,646,3,False,0
APP-00162,2024-04-29,Belgium,Real Estate,Micro (<10),17,3516733,True,1,74596,24,False,5,1.35,0.71,11.1,9.8,0.021,513,5,False,0
APP-00163,2023-10-26,Belgium,Technology,Micro (<10),8,375157,False,2,83347,48,True,2,2.8,1.7,-2.4,2.7,0.222,633,4,False,0
APP-00164,2023-10-24,Netherlands,Real Estate,Small (10-49),6,122448,False,2,172264,60,True,11,1.14,1.61,-4.7,3.9,1.407,515,2,False,1
APP-00165,2023-11-02,Germany,Retail & E-commerce,Micro (<10),50,133224,True,0,176228,48,True,5,1.91,0.64,7.4,-8.8,1.323,650,1,False,0
APP-00166,2024-08-17,Spain,Hospitality & Food,Micro (<10),2,288926,False,0,139141,24,True,1,0.71,1.29,11.7,1.9,0.482,667,1,False,0
APP-00167,2023-08-23,Italy,Healthcare,Micro (<10),11,50000,False,3,120980,60,False,9,0.54,1.72,3.8,-9.4,2.42,786,0,False,0
APP-00168,2023-05-02,Netherlands,Professional Services,Small (10-49),3,151753,False,2,134708,72,False,46,0.94,1.56,6.7,4.9,0.888,639,2,False,0
APP-00169,2023-09-02,Germany,Technology,Micro (<10),6,155848,False,3,79049,24,False,2,1.12,1.84,15.7,0.1,0.507,621,2,False,0
APP-00170,2023-01-17,Germany,Construction,Medium (50-249),8,357806,True,0,40369,36,False,178,1.88,1.0,0.8,11.0,0.113,756,3,False,0
APP-00171,2023-03-19,Germany,Real Estate,Micro (<10),14,2758456,True,4,28416,48,True,4,0.7,0.55,0.6,-12.9,0.01,702,3,False,0
APP-00172,2023-03-07,Germany,Manufacturing,Medium (50-249),5,286581,False,3,158966,60,True,172,3.33,0.85,12.0,-6.1,0.555,653,1,False,0
APP-00173,2024-07-17,Belgium,Real Estate,Micro (<10),5,50000,True,1,107641,24,True,5,0.76,1.92,7.2,-6.0,2.153,625,1,False,0
APP-00174,2024-06-11,Germany,Professional Services,Small (10-49),5,89617,False,2,142118,12,False,39,1.28,2.02,13.8,4.8,1.586,786,2,True,1
APP-00175,2024-05-23,Germany,Hospitality & Food,Micro (<10),3,367598,False,0,50863,48,True,7,1.36,1.3,-1.1,2.1,0.138,591,1,False,0
